"composition","vec","deltachi","delta","deltahmix","deltasmix","ref","phase","density","hv","testtype","ys","ysmax","elongation","ym","group"
"Al20(CoCrCuFeMnNiTiV)80",6.6,0.14239382009062,6.27156274135966,-15.44,17.9921284164871,"78","BCC","6.1",NA,"C",1465,2016,"2",190,"Other"
"Al40(CoCrCuFeMnNiTiV)60",5.7,0.130987594832488,6.31960701698569,-18.285,15.9693937258886,"78","BCC+Im","5.1",NA,"C",1461,1461,"< 1",163,"Other"
"AlFeNiTiVZr",5.66666666666667,0.18977325651653,9.35408527371234,-31.3333333333333,14.8975171276187,"27","BCC","5.9",800,NA,NA,NA,NA,132,"Other"
"(CuMnNi)75Zn25",10,0.156584641647896,4.44848547113665,-3.5,11.526292643288,"79","FCC","8.3",147,"C",215,NA,">60",169,"Other"
"(CuMnNi)80Zn20",9.86666666666667,0.159393294157007,4.33339960938657,-2.98666666666666,11.4680738893214,"79","FCC","8.3",109,"C",140,NA,">65",171,"Other"
"(CuMnNi)90Al10",8.7,0.167418636955388,4.52114141243782,-5.04,10.9238239554386,"79","FCC+Im","8.1",241,"C",515,NA,"40",NA,"Other"
"(CuMnNi)90Sn10",8.8,0.167104757562434,8.07165064163315,-0.48,10.9238239554386,"79","FCC+Im","8.3",318,"C",630,NA,"20",NA,"Other"
"(CuMnNi)95Al5",9.01666666666667,0.167641399686619,4.02929787457387,-2.66,10.3281998356089,"79","FCC","8.3",166,"C",330,NA,">45",174,"Other"
"(CuMnNi)95Sn5",9.06666666666667,0.167476034769821,6.36464315298509,-0.253333333333333,10.3281998356089,"79","FCC+Im","8.4",205,"C",380,NA,">63",NA,"Other"
"Ti0.25NbMoTaW",5.41176470588235,0.363138948880138,2.48584137040875,-6.14532871972318,12.7083710094314,NA,"BCC",NA,478.3,"C",1109,2.5,NA,NA,"TixNbMoTaW"
"Ti0.5NbMoTaW",5.33333333333333,0.361574062218428,2.60689683570357,-5.82716049382716,13.1459448815993,NA,"BCC",NA,481.2,"C",1211,5.9,NA,NA,"TixNbMoTaW"
"Ti0.75NbMoTaW",5.26315789473684,0.359309895644461,2.69153170113987,-5.54016620498615,13.3328070494741,NA,"BCC",NA,495.6,"C",1305,8.4,NA,NA,"TixNbMoTaW"
"TiNbMoTaW",5.2,0.356561355169065,2.75057850915543,-5.28,13.3816113591719,NA,"BCC",NA,507.5,"C",1455,11.5,NA,NA,"TixNbMoTaW"
"AlCrFeNiMo0.5",6.66666666666667,0.172225806414317,6.11217739577749,-11.8518518518518,13.1459448815993,NA,"BCC+Im",NA,623.7,"C",1914.1,27.9,NA,NA,"AlCrFeNiMo0.5Tix"
"AlCrFeNiMo0.5Ti0.25",6.52631578947368,0.177239528366311,6.52583430968316,-14.6703601108033,14.1684291428761,NA,"BCC+Im",NA,712,"C",2161.7,14.3,NA,NA,"AlCrFeNiMo0.5Tix"
"AlCrFeNiMo0.5Ti0.4",6.44897959183674,0.179504849063058,6.71170699716278,-16.0599750104123,14.4236283729323,NA,"BCC+Im",NA,731.9,"C",2185.1,14.8,NA,NA,"AlCrFeNiMo0.5Tix"
"AlCrFeNiMo0.5Ti0.5",6.4,0.180765040867973,6.81576093204872,-16.88,14.5342406235007,NA,"BCC+Im",NA,751.7,"C",2228.7,10.4,NA,NA,"AlCrFeNiMo0.5Tix"
"AlCrFeNiMo0.5Ti0.6",6.35294117647059,0.181851513843779,6.90641608494439,-17.6239907727797,14.6109492680261,NA,"BCC+Im",NA,756.1,"C",1314.5,NA,NA,NA,"AlCrFeNiMo0.5Tix"
"AlCrFeNiMo0.5Ti0.75",6.28571428571428,0.183196609500357,7.02097637694778,-18.6122448979592,14.6778495531602,NA,"BCC+Im",NA,766.2,"C",618.8,NA,NA,NA,"AlCrFeNiMo0.5Tix"
